id,agency,brand,relationship_status,quality_score,evidence_count,brand_url,source_urls,methods
675,IMG Licensing,Automobili Pininfarina,first_party_portfolio_presence,0.95,5,https://imglicensing.com/brands/automobili-pininfarina/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/"", ""https://www.licenseglobal.com/licensing-resources/top-global-licensing-agents-client-list""]","[""embedded_or_network_json"", ""licenseglobal_client_list"", ""portfolio_card""]"
639,IMG Licensing,BRZRKR,first_party_portfolio_presence,0.95,11,https://imglicensing.com/brands/brzrkr/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/"", ""https://www.licenseglobal.com/licensing-resources/top-global-licensing-agents-client-list""]","[""embedded_or_network_json"", ""licenseglobal_client_list"", ""portfolio_card""]"
1358,IMG Licensing,Baby Gap,first_party_portfolio_presence,0.95,4,https://imglicensing.com/brands/baby-gap/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json"", ""portfolio_card""]"
676,IMG Licensing,Bacardi,first_party_portfolio_presence,0.95,5,https://imglicensing.com/brands/bacardi/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/"", ""https://www.licenseglobal.com/licensing-resources/top-global-licensing-agents-client-list""]","[""embedded_or_network_json"", ""licenseglobal_client_list"", ""portfolio_card""]"
1409,IMG Licensing,"Bacardi, Martini",first_party_article_reference,0.74,2,,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json""]"
1443,IMG Licensing,Back to Brands,first_party_portfolio_presence,0.74,1,,"[""https://imglicensing.com/brands/24h-le-mans/""]","[""portfolio_card""]"
1350,IMG Licensing,Banana Republic,first_party_portfolio_presence,0.95,4,https://imglicensing.com/brands/banana-republic/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json"", ""portfolio_card""]"
1300,IMG Licensing,Barrett-Jackson,first_party_portfolio_presence,0.95,4,https://imglicensing.com/brands/barrett-jackson/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json"", ""portfolio_card""]"
1441,IMG Licensing,Been Trill,first_party_article_reference,0.74,2,,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json""]"
1351,IMG Licensing,Beyond Closet,first_party_portfolio_presence,0.95,4,https://imglicensing.com/brands/beyond-closet/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json"", ""portfolio_card""]"
